name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti SX4 Celebration 0,2012,90000,0,0,0,2,22000
Hyundai i20 Active S 1,2018,37000,1,1,0,1,65000
Maruti Alto 800 LXI,2018,30000,0,1,0,1,28500
Honda Amaze V CVT 0 BSIV,2018,26000,0,1,1,1,72500
Maruti Ciaz ZXi,2016,30000,0,1,0,1,62500
Hyundai i20 Active SX 0,2016,23000,0,1,0,1,55000
Hyundai i10 Magna,2012,40000,0,1,0,1,24000
Nissan Terrano XL 85 PS,2014,27000,1,1,0,1,60000
Tata New Safari DICOR 2.2 EX 4x2,2012,65000,1,1,0,1,35000
Hyundai EON Magna Plus,2015,32000,0,1,0,1,24500
Mahindra Bolero B6,2016,56000,1,1,0,1,60000
BMW X1 sDrive 20d xLine,2017,30000,1,0,1,1,240000
Mahindra Scorpio SLE BS IV,2014,80000,1,1,0,1,62000
Maruti Swift Dzire 1.2 Vxi BSIV,2014,52000,0,1,0,2,39500
Maruti Ertiga ZXI,2014,13250,0,1,0,1,63500
Maruti Alto LX,2011,36000,0,1,0,1,18000
Maruti Swift ZDI Plus,2015,73000,1,1,0,2,48499
Maruti Alto LX,2004,60000,0,0,0,1,11000
Maruti Wagon R VXI BSIII,2006,60000,0,0,0,2,15000
Chevrolet Tavera Neo 2 LT L 9 Str,2012,110000,1,0,0,1,40000
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,70000,1,0,0,2,20000
Renault Duster 85PS 1 RxL Plus,2013,60000,1,0,0,2,30200
Maruti Swift Dzire Vdi BSIV,2011,90000,1,0,0,4,21500
Maruti Wagon R VXI BSIII,2004,80000,0,0,0,2,15500
Toyota Innova 2.5 G (1) 8 Seater,2014,101000,1,0,0,2,100000
Mahindra Bolero Power Plus SLX,2018,44000,1,0,0,1,55000
Maruti Swift 1.3 VXi,2006,45000,0,0,0,1,20000
Mahindra Scorpio S2 7 Seater,2017,120000,1,0,0,1,75000
Maruti Zen LXI,2005,90000,0,0,0,2,9000
Maruti Wagon R LXI Minor,2007,120000,0,0,0,2,8000
Hyundai EON D Lite Plus,2013,13500,0,0,0,1,22999
Renault KWID 1.0 RXT Optional,2017,10000,0,0,0,1,35000
Hyundai Grand i10 Magna,2015,25000,0,0,0,3,32500
Tata Tigor 1.2 Revotron XT,2018,8500,0,0,0,1,45000
Maruti SX4 Celebration 1,2012,120000,1,0,0,1,25000
Volkswagen Polo 1 Comfortline 1.2L,2012,120000,1,0,0,1,22500
Maruti Alto LXi,2009,90246,0,0,0,3,15000
Maruti Alto LX BSIII,2008,90000,0,0,0,2,11000
Maruti Alto LXi BSIII,2010,40000,0,0,0,2,15000
Maruti Gypsy King Hard Top,2000,60000,0,0,0,4,16500
Renault Duster 85PS 1 RxL,2017,32000,1,0,0,2,61000
Tata Manza Club Class Quadrajet90 VX,2013,60400,1,0,0,1,17000
Hyundai Verna CRDi,2008,70950,1,0,0,2,15000
Hyundai i20 Asta 1.4 CRDi,2013,90000,1,0,0,1,30000
Hyundai Xcent 1.1 CRDi Base,2015,72000,1,0,0,1,37500
Maruti Swift VDI,2013,90000,1,0,0,1,39000
Hyundai i20 Active 1.2 S,2017,10000,0,0,0,1,60000
Maruti Alto 800 LXI,2014,25000,0,0,0,2,20499
Hyundai Verna CRDi,2009,80000,1,0,0,2,27000
Hyundai Grand i10 Sportz,2017,10000,0,0,0,1,37500
Maruti Baleno Zeta,2020,1100,0,0,0,1,70000
Maruti Swift VXI Deca,2017,40000,0,0,0,1,45500
Hyundai i10 Sportz 1.1L,2017,10000,0,0,0,1,37500
Hyundai Grand i10 Asta,2014,31491,0,0,0,1,34100
Maruti Swift Dzire VDI,2014,107143,1,0,0,2,20000
Maruti Ignis 1.2 AMT Delta BSIV,2017,15000,0,0,1,1,45000
Hyundai Santro Xing GL Plus,2012,50000,0,0,0,2,17000
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,100000,1,0,0,1,190000
Mahindra Bolero Power Plus LX,2016,60000,1,0,0,1,50000
Maruti Vitara Brezza ZDi Plus,2016,85000,1,0,0,1,81999
Maruti Swift 1.2 DLX,2014,40000,0,0,0,2,35100
Hyundai i10 Magna 1.2 iTech SE,2011,80000,0,0,0,2,19500
Maruti Swift Dzire VDi,2008,82000,1,0,0,2,25000
Maruti Zen Estilo 1.1 VXI BSIII,2008,70000,0,0,0,2,12000
Maruti A-Star Vxi,2009,70000,0,0,0,3,18000
Mahindra KUV 100 mFALCON D75 K6,2016,20000,1,0,0,1,43000
Tata Nano Cx BSIV,2012,35000,0,0,0,2,7500
Mahindra Xylo D4,2017,80000,1,0,0,1,75000
Tata Nano Lx,2011,40000,0,0,0,1,6000
Toyota Innova 2.5 VX (1) 8 Seater,2015,46412,1,0,0,1,150000
Mahindra Bolero SLX 2WD BSIII,2011,150000,1,0,0,4,39000
Mahindra TUV 300 T4,2016,50000,1,0,0,1,63000
Tata Safari Storme VX Varicor 400,2018,15000,1,0,0,1,108500
Hyundai i10 Magna 1.2 iTech SE,2012,60000,0,0,0,2,19000
Maruti Baleno Delta 1,2018,25000,0,0,1,1,55000
Maruti Alto 800 LXI,2012,90000,0,0,0,3,20000
Chevrolet Spark 1.0 LT,2011,60000,0,0,0,1,16500
Ford Figo 1 Celebration Edition,2013,65000,1,0,0,1,26000
Maruti Alto LX,2011,40000,0,0,0,1,15100
Maruti Vitara Brezza VDi,2018,50000,1,0,0,1,78000
Tata Indica Vista Quadrajet LX,2012,80000,1,0,0,3,17500
Tata Indica Vista TDI LS,2010,107500,1,1,0,1,17000
Tata Indica Vista TDI LS,2013,135000,1,1,0,2,21000
Maruti Alto LXi,2007,43826,0,1,0,2,9000
Hyundai i20 Active S 0,2016,55838,0,1,0,1,53500
Maruti Swift VDI BSIV,2007,112880,1,1,0,1,19500
Tata Indica Vista Terra Quadrajet 1.3L,2011,90000,1,0,0,3,14000
Nissan Sunny XL,2012,40000,0,0,0,1,35000
Hyundai Verna 1.6 SX VTVT (O),2013,66000,0,0,0,1,42500
Renault KWID 1.0 RXT Optional,2017,30300,0,0,0,1,30000
Volkswagen Vento 1 Style Limited Edition,2013,85000,1,0,0,2,34000
Maruti Swift Dzire VXi,2009,80659,0,1,0,1,25000
Chevrolet Aveo 1.4 LS,2008,81324,0,1,0,1,17000
Honda Amaze S i-Dtech,2013,127884,1,1,0,1,31500
Chevrolet Beat PS,2015,50000,0,0,0,1,20000
Chevrolet Beat PS,2016,25000,0,0,0,1,30000
Honda Amaze S i-Dtech,2015,66755,1,1,0,1,30000
Honda City E,2013,123084,0,1,0,1,38000
Maruti Swift VXI BSIII,2009,806599,0,1,0,1,25000
Honda Amaze S i-Dtech,2013,95851,1,1,0,1,31000
Maruti Wagon R VXI Minor ABS,2010,50000,0,0,0,1,26000
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,50000,0,0,0,2,15000
Maruti Esteem Vxi - BSIII,2006,60000,0,0,0,2,8500
Maruti Alto 800 LXI,2015,15000,0,0,0,2,28000
Mahindra Xylo H4 ABS,2016,40000,1,0,0,1,85000
Datsun GO Plus T Option BSIV,2017,20000,0,0,0,2,37500
Hyundai Elantra CRDi (Leather Option),2006,120000,1,0,0,3,12500
Chevrolet Beat 1 LT,2012,110000,1,0,0,1,25000
Toyota Corolla Altis D-4D J,2014,234000,1,0,0,1,71500
Hyundai i20 1.4 CRDi Era,2011,70000,1,0,0,1,22000
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,1,0,0,2,11000
Hyundai Verna XXi (0),2007,84000,0,0,0,2,15000
Nissan Sunny 1 XV,2012,170000,1,0,0,1,30000
Datsun RediGO T Option,2017,40000,0,0,0,1,22000
Maruti Wagon R LX,2006,96000,0,0,0,2,7500
Tata Indigo LS,2009,20000,1,0,0,1,10000
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,15000,0,0,0,1,38000
Hyundai Santro Xing XK (Non-AC),2007,50000,0,0,0,1,10000
Volkswagen Passat 1.8 TSI MT,2010,80000,0,0,0,2,48000
Toyota Etios GD,2012,124000,1,0,0,1,30000
Chevrolet Beat 1 LS,2013,70000,1,0,0,1,19000
Ford Figo 1 LXI,2012,130000,1,0,0,2,19000
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,19014,0,1,0,1,65000
Toyota Corolla Executive (HE),2009,23262,0,1,0,1,30000
Ford Freestyle Titanium 1 BSIV,2016,29600,1,1,0,1,70000
Hyundai i10 Sportz 1.1L,2015,35925,0,1,0,1,31000
Maruti Ignis 1.2 Zeta BSIV,2018,12000,0,0,0,1,50000
Toyota Etios V,2013,40771,0,1,0,1,41500
Maruti Celerio VXI AT,2015,30500,0,1,1,2,39500
Toyota Etios Liva 1.2 G,2014,42000,0,1,0,2,43000
Toyota Corolla H6,2007,55800,0,1,0,2,21500
Renault Duster RXL AWD,2014,66569,1,1,0,1,55000
Volkswagen Polo 1.5 TDI Trendline,2014,81358,1,1,0,1,41500
Volkswagen Polo 1.5 TDI Comfortline,2015,82695,1,1,0,1,45000
Ford Figo 1 EXI,2014,68293,1,1,0,2,28500
Honda Jazz VX CVT,2016,32000,0,1,1,1,58000
Maruti Swift Dzire Tour LDI,2014,190621,1,1,0,1,30000
Hyundai Verna CRDi 1.6 SX Option,2018,60000,1,0,0,1,120000
Maruti 800 Std MPFi,2006,64700,0,0,0,1,7800
Maruti 800 AC,2002,100000,0,0,0,2,6500
Tata Zest Quadrajet 1.3 75PS XE,2016,88470,1,0,0,1,40000
Hyundai Verna 1.6 CRDI SX Option,2016,75000,1,0,0,1,85000
Volkswagen Vento 1 Highline,2013,120000,1,0,0,2,45000
Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,35000,1,0,1,1,250000
Toyota Etios 1.4 VXD,2017,70000,1,0,0,1,78000
Toyota Fortuner 2.8 2WD AT BSIV,2017,57000,1,0,1,1,320000
Maruti Alto 800 VXI,2020,1000,0,0,0,1,35000
Mahindra Quanto C6,2013,120000,1,0,0,2,28500
Volkswagen Vento 1.5 TDI Highline,2015,98000,1,1,0,1,52500
Maruti Ciaz ZDi,2014,90000,1,1,0,2,55000
Volkswagen Ameo 1.5 TDI Comfortline,2018,70000,1,0,0,1,58000
Tata Nano CX SE,2013,25000,0,0,0,3,7500
Tata Manza Aura Quadrajet,2009,60000,1,0,0,3,18500
Maruti Omni E 8 Str STD,2007,90000,0,0,0,4,11000
Honda City 1.5 EXI,2004,200000,0,0,0,2,18000
Volkswagen Polo 1 Comfortline 1.2L,2010,110000,1,0,0,2,35000
Chevrolet Optra 1.6 LS,2005,126000,0,0,0,2,6000
Mahindra TUV 300 T10,2018,70000,1,0,0,1,69500
Mahindra Alturas G4 4X2 AT BSIV,2019,5000,1,0,1,1,270000
Maruti Zen Estilo LX BSIII,2007,74183,0,0,0,2,13500
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,70000,1,0,0,2,64000
Maruti Alto 800 VXI,2014,90000,0,0,0,1,16000
Tata Indica LXI,2004,46000,0,0,0,2,8000
Maruti Swift Dzire VDI,2013,110000,1,0,0,2,34000
Maruti Ritz VDi,2012,80000,1,0,0,2,11000
Tata Sumo Gold EX,2013,90000,1,0,0,2,25000
Toyota Innova Crysta 2.4 VX MT BSIV,2017,70000,1,0,0,1,130000
Mahindra Quanto C6,2014,1,1,0,0,2,25000
Toyota Innova 2.5 G (1) 8 Seater BS IV,2009,192000,1,0,0,1,45000
Maruti Wagon R LX Minor,2013,70000,0,0,0,4,24000
Mahindra Bolero DI DX 7 Seater,2007,120000,1,0,0,2,22500
Maruti Wagon R VXI Optional,2015,60000,0,0,0,2,27500
Tata Sumo Victa CX 7/9 Str BSII,2012,120000,1,0,0,2,32000
Maruti Alto LX BSIII,2008,120000,0,0,0,1,7500
Tata Indica GLS BS IV,2007,50000,0,0,0,2,8500
Tata Indica Vista Aqua TDI BSIII,2009,120000,1,0,0,1,9000
Maruti Wagon R LXI Minor,2007,80000,0,0,0,2,8500
Mahindra Scorpio M2DI,2008,80000,1,0,0,2,35000
Skoda Superb Elegance 2.0 TDI CR AT,2009,100000,1,0,1,2,35500
Maruti Swift VXI,2020,1500,0,0,0,1,61900
Jeep Compass 2.0 Longitude Option BSIV,2018,50000,1,0,0,1,170000
Tata Indica DL,2006,100000,1,0,0,2,5500
Ford Fiesta 1.6 ZXi Leather,2006,83411,0,0,0,1,9500
Volkswagen Vento 1 Highline,2011,120000,1,0,0,2,30000
Ford Fiesta 1.6 ZXi Leather,2006,83411,0,0,0,1,8100
Skoda Superb Elegance 2.0 TDI CR AT,2015,80000,1,0,1,2,100000
Maruti Ertiga VDI,2019,50000,1,0,0,1,92500
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,40000,1,0,0,1,45000
Mahindra Scorpio EX,2014,13270,1,0,0,1,60000
Hyundai Santro Xing XL AT eRLX Euro III,2006,100000,0,0,1,3,8500
Mahindra Thar DI 4X4 PS,2016,50000,1,0,0,1,70000
Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,26500,0,0,0,1,48600
Maruti Swift VDI,2013,90000,1,0,0,1,40000
Ford Fiesta 1.4 Duratec ZXI,2008,100000,0,0,0,3,12000
Maruti Alto 800 LXI,2018,35000,0,0,0,1,27500
Hyundai i20 Asta Option 1.4 CRDi,2016,57000,1,0,0,1,58000
Maruti Swift Dzire LXI,2015,70000,0,0,0,1,37500
Maruti Wagon R VXI BS IV with ABS,2015,100000,0,0,0,3,22999
Maruti Alto LX,2010,88000,0,0,0,2,11000
Maruti Swift Dzire VDI,2017,60000,1,0,0,1,60000
Maruti A-Star Vxi,2009,76000,0,0,0,2,12000
Ford Figo 1 Titanium,2010,100000,1,0,0,2,20000
Hyundai Verna 1.6 SX CRDi (O),2012,110000,1,0,0,2,45000
Hyundai Verna 1.6 SX CRDi (O),2012,80000,1,0,0,2,55000
Maruti Alto LX,2012,80000,0,0,0,2,22000
Maruti 800 EX,2001,30000,0,0,0,1,4000
Renault KWID Climber 1.0 AMT,2017,20000,0,0,1,1,30000
Mahindra Bolero Power Plus SLE,2018,40000,1,0,0,1,63000
Maruti Swift Dzire VDI,2017,40000,1,0,0,2,61000
Hyundai Xcent 1.2 VTVT S,2019,7000,0,0,0,2,66000
Maruti Wagon R LXI 3 BSIV,2012,80000,3,0,0,2,22000
Nissan Micra 1 XV Premium,2011,90000,1,0,0,2,13800
Nissan Micra 1 XV Premium,2013,13770,1,0,0,1,21000
Maruti Zen LXi - BS III,2005,34000,0,1,0,1,12500
Maruti Alto LXi BSIII,2008,102000,0,1,0,1,12500
Honda City i DTEC SV,2014,110000,1,0,0,1,72500
Maruti Alto K10 2010-2014 VXI,2011,90000,0,0,0,2,17000
Toyota Innova 2.5 VX (1) 7 Seater,2015,70000,1,0,0,3,120000
Maruti Wagon R VXI BSIII,2003,90000,0,0,0,2,7000
Maruti Alto LXi,2007,70000,0,0,0,2,10000
Honda Civic 1.8 (E) MT,2006,80000,0,0,0,2,30000
Maruti Swift VDI,2013,100000,1,0,0,2,45000
Maruti Swift Dzire VDI,2015,100000,1,0,0,1,53000
Maruti Zen Estilo 1.1 LXI BSIII,2007,143000,0,0,0,3,10000
Honda City 1.5 V MT,2010,115000,0,0,0,2,35000
Tata Manza ELAN Quadrajet BS IV,2011,100000,1,0,0,2,16500
Maruti Swift Dzire ZDI,2019,120000,1,0,0,2,47500
Mahindra Xylo E4 ABS BS IV,2013,42000,1,0,0,1,35000
Renault KWID RXL,2016,38000,0,0,0,1,22999
Honda WR-V i-DTEC VX,2018,35000,1,0,0,1,80000
Maruti Swift Dzire ZDI,2014,120000,1,0,0,2,47500
Nissan Terrano XL 110 PS,2014,136906,1,0,0,1,42500
Maruti Ciaz VDi Plus,2015,97000,1,0,0,2,66000
Honda Amaze S CVT 0,2019,10000,0,0,1,1,61000
Honda Brio S MT,2013,50000,0,0,0,3,24000
Maruti Esteem Lxi,2005,60000,0,0,0,2,7000
Toyota Corolla Altis 1 D4DGL,2011,120000,1,0,0,1,55000
Tata Indica Vista Aura 1.2 Safire,2010,120000,0,0,0,2,10000
Mahindra Bolero SLE,2010,90000,1,0,0,2,35000
Hyundai EON Era Plus,2013,120000,0,0,0,1,20000
Hyundai Elite i20 Asta Option CVT BSIV,2019,3000,0,0,1,1,72000
Maruti Ritz VDi,2014,133000,1,0,0,1,35000
Maruti Wagon R VXI BS IV,2016,25000,0,0,0,1,40000
Hyundai i20 Active 1.2 S,2017,35000,0,0,0,1,57000
Maruti Omni MPI STD BSIV,2015,70000,0,0,0,1,13000
Maruti Alto 800 LXI,2016,52000,0,0,0,1,21000
Hyundai Creta 1.4 E Plus,2018,52000,1,0,0,1,80000
Honda Jazz 1.5 E i DTEC,2017,39000,1,0,0,1,70000
Tata Indica Vista Quadrajet VX,2011,28689,1,0,0,1,20000
Tata Aria Pure LX 4x2,2014,90000,1,0,0,2,49500
Ford Fiesta Classic 1.4 Duratorq CLXI,2014,80322,1,1,0,1,32500
Ford Freestyle Trend 0 BSIV,2019,8000,0,0,0,1,65000
Mahindra Jeep MM 775 XDB,2000,50000,1,0,0,2,15500
Maruti 800 AC BSIII,2007,90000,0,0,0,2,7500
Hyundai Grand i10 1.2 CRDi Magna,2015,61658,1,1,0,1,35000
Maruti Zen Estilo LX BSIV,2010,50000,0,0,0,3,9000
Maruti Ertiga SHVS VDI,2016,80000,1,0,0,1,60000
Mahindra Scorpio SLE BSIII,2010,185000,1,0,0,1,40000
Maruti Swift VDI BSIV,2014,57000,1,0,0,2,37000
Maruti 800 DX,2000,60000,0,0,0,1,5000
Honda City 1.5 GXI,2004,120000,0,0,0,2,12500
Honda CR-V 1 4WD,2018,26000,1,0,1,1,180000
Hyundai Grand i10 1.2 Kappa Magna AT,2019,20000,0,0,1,1,65000
Maruti Ertiga BSIV VXI AT,2017,30600,0,0,1,1,80000
Volkswagen Polo 1.0 TSI Highline Plus,2020,5000,0,0,0,1,80200
Audi A4 35 TDI Premium,2015,35000,1,0,1,3,230000
Hyundai Xcent 1.1 CRDi SX,2016,35000,1,0,0,1,43000
Hyundai Verna 1.6 SX VTVT,2017,23000,0,0,0,1,65000
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2004,120000,1,0,0,1,17000
Skoda Superb Elegance 2.0 TDI CR AT,2011,235000,1,0,1,1,45000
Maruti Alto 800 LXI,2013,87000,0,0,0,1,25000
Ford Ecosport 1.0 Ecoboost Titanium,2014,72000,0,0,0,2,55000
Jaguar XF 3.0 Litre S Premium Luxury,2013,64000,1,0,1,2,200000
Maruti Zen Estilo VXI BSIII,2007,100000,0,0,0,2,14000
Chevrolet Beat LT,2012,12000,0,0,0,1,15500
Hyundai Accent Executive,2010,67000,0,0,0,3,12000
Toyota Innova 2.5 E 8 STR,2012,70000,1,0,0,1,28700
Maruti Baleno Alpha 1.3,2016,60000,1,0,0,1,67500
Hyundai i10 Magna 1.2 iTech SE,2011,74500,0,0,0,2,23500
Hyundai i20 1.4 CRDi Asta,2011,118700,1,0,0,2,30000
Nissan Micra XL CVT,2015,40000,0,0,1,2,43499
Mahindra Scorpio VLX AT 2WD BSIII,2004,223660,1,0,1,3,22500
Toyota Corolla AE,2006,140000,0,0,0,2,16000
Hyundai Grand i10 Nios Sportz,2020,5000,0,0,0,1,60000
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,100000,1,0,0,2,47000
Maruti Swift Dzire VXi,2011,100000,0,0,0,2,30000
Maruti Baleno Delta 1.2,2018,2000,0,0,0,1,60000
Hyundai Grand i10 Nios AMT Magna,2020,4000,0,0,1,1,64000
Tata Indica DLS,2006,120000,1,0,0,4,5000
Hyundai Verna 1.6 VTVT S,2015,35000,0,0,0,1,60000
Hyundai i10 Magna 3,2014,29000,3,0,0,1,29000
Hyundai Verna 1.6 VTVT S,2015,30000,0,0,0,1,60000
Tata Manza Aqua Quadrajet BS IV,2012,120000,1,0,0,1,19000
Hyundai i10 Era 1.1,2008,110000,0,0,0,3,16000
Maruti Alto K10 VXI,2017,15000,0,0,0,1,32500
Mahindra Bolero DI,2006,73756,1,0,0,1,20000
Toyota Fortuner 2.8 2WD AT BSIV,2018,40000,1,0,1,1,280000
Chevrolet Spark 1.0 LS,2011,60000,0,0,0,3,12500
Hyundai i10 Magna 1.1,2008,60000,0,0,0,4,15500
Hyundai i20 Asta 1.4 CRDi,2015,90000,1,0,0,1,55000
Maruti Wagon R LX BSIII,2009,70000,0,0,0,4,13000
Maruti 800 AC,2002,70000,0,0,0,2,8000
Toyota Etios Cross 1.4L GD,2015,80000,1,0,0,2,50000
Renault KWID RXT BSIV,2019,27000,0,0,0,1,25000
Mahindra XUV500 W8 2WD,2012,70000,1,0,0,1,58000
Daewoo Matiz SD,2002,50000,0,0,0,1,6000
Toyota Etios GD,2012,185000,1,0,0,1,30000
Ford Figo 1 Titanium,2014,90000,1,0,0,2,20000
Tata Hexa XT,2017,16400,1,0,0,1,120000
Toyota Etios Cross 1.4L GD,2015,80000,1,0,0,2,35000
Mahindra XUV500 W8 4WD,2012,80000,1,0,0,2,60000
Honda Jazz V,2019,4000,0,0,0,1,65000
Maruti A-Star Lxi,2008,40000,0,0,0,1,12000
Tata New Safari DICOR 2.2 EX 4x2,2010,120000,1,0,0,2,18000
Hyundai Verna VTVT 1.6 AT SX Option,2018,41395,0,0,1,1,95000
Tata Manza Aura Quadrajet BS IV,2012,35000,1,0,0,2,25099
Skoda Laura Ambiente 2.0 TDI CR MT,2012,52000,1,1,0,1,38500
Audi A8 L 3.0 TDI quattro,2009,47000,1,1,1,2,125000
Chevrolet Beat LT,2013,50000,0,0,0,1,16500
Hyundai Elantra SX,2015,48000,0,1,0,1,70000
Mahindra XUV500 W8 4WD,2015,53000,1,1,0,1,75000
Mahindra Renault Logan 1.5 DLS,2008,213000,1,0,0,1,8999
Datsun redi-GO AMT 1.0 T Option,2018,15000,0,1,1,1,29000
Tata Nano Cx BSIII,2014,7000,0,0,0,2,4500
Skoda Superb Ambition 2.0 TDI CR AT,2013,88000,1,1,1,1,67500
Nissan Terrano XL Plus 85 PS,2015,55000,1,1,0,1,53000
BMW X1 sDrive20d M Sport,2014,48000,1,1,1,1,148500
Chevrolet Enjoy TCDi LT 7 Seater,2014,71014,1,1,0,1,32500
Honda Amaze S 1,2015,60000,1,1,0,1,40000
Mahindra KUV 100 D75 K6 Plus,2017,71000,1,1,0,1,38000
Honda City i-VTEC CVT VX,2016,45000,0,1,1,1,75000
Honda Brio VX,2017,45000,0,1,0,1,39000
Maruti Alto LXi,2009,20000,0,0,0,1,11000
MG Hector Sharp 1 MT BSIV,2019,14000,1,1,0,1,182500
Audi A4 35 TDI Premium Plus,2019,17000,1,1,1,1,325600
Renault Scala 1 RxL,2015,60000,1,1,0,1,37000
Chevrolet Beat 1 LT,2013,80000,1,0,0,2,21000
Skoda Laura Ambiente 1.9 PD,2007,181000,1,0,0,4,17500
Hyundai Verna 1.6 SX CRDi (O),2012,89550,1,0,0,2,57500
Mahindra Xylo D4,2010,90000,1,0,0,3,32000
Maruti Swift Ldi BSIV,2010,149500,1,0,0,3,28000
Renault Duster 85PS 1 RxL Optional,2013,190000,1,0,0,2,50000
Ford Fiesta 1 Style,2013,83000,1,1,0,1,38000
Maruti 800 AC BSIII,2005,20000,0,0,0,2,12000
Maruti Eeco 5 Seater AC BSIV,2018,20000,0,0,0,1,39500
Skoda Laura 1.9 TDI MT Ambiente,2010,160000,1,0,0,1,36000
Nissan Terrano XL Plus 85 PS,2015,100000,1,0,0,1,45100
Chevrolet Spark 1.0 LS,2010,45000,0,0,0,2,17500
Chevrolet Spark 1.0 LS,2009,44800,0,0,0,2,17000
Hyundai Santro Xing XL eRLX Euro III,2006,40000,0,0,0,2,10000
Maruti Omni MPI STD BSIV,2014,120000,0,0,0,3,15000
Tata Indica Vista Quadrajet LX,2011,10000,1,0,0,2,14900
Tata Indica Vista Aqua 1.3 Quadrajet,2011,80000,1,0,0,2,16000
Datsun GO Plus T Option 0,2018,10000,0,0,0,1,43499
Mahindra XUV500 W8 4WD,2014,156000,1,0,0,1,80000
Toyota Innova 2.5 VX (1) 7 Seater BS IV,2010,120000,1,0,0,2,81999
Maruti Baleno Vxi,2007,100000,0,0,0,2,16300
Mercedes-Benz E-Class 220 CDI,2001,100000,1,0,0,2,35000
Tata Indica GLS BS IV,2006,100000,0,0,0,2,7500
Maruti Alto LXi,2012,60000,0,0,0,2,18000
Ford Figo Aspire 1.5 TDCi Trend,2017,30000,1,0,0,1,67500
Maruti Swift VDI,2013,170000,1,0,0,1,40000
Volkswagen Polo 1 Highline 1.2L,2013,100000,1,0,0,2,43499
Tata Indigo GLX,2006,110000,0,0,0,2,10000
Maruti Swift Dzire LDI Optional,2015,170000,1,0,0,2,41900
Tata Indica GLS BS IV,2009,100000,0,0,0,1,20000
Renault Scala 1 RxL,2014,35000,1,0,0,1,40000
Ford EcoSport 1.5 1 Ambiente BSIV,2018,40000,1,0,0,2,79000
Renault Duster 85PS 1 RxL Plus,2015,90000,1,0,0,2,50000
Skoda Rapid 1.6 TDI Elegance,2012,120000,1,0,0,2,27500
Hyundai i20 1.4 CRDi Sportz,2012,120000,1,0,0,2,45000
Mahindra XUV500 W11 Option AWD,2020,25000,1,1,0,1,140000
Renault Duster 110PS 1 RxL,2015,15000,1,0,0,1,80000
Maruti Wagon R VXI,2014,41000,0,1,0,1,31500
Maruti Baleno Alpha,2019,16000,0,0,0,1,70000
Mahindra Bolero SLX,2016,51000,1,1,0,1,58500
Chevrolet Sail 1.2 LT ABS,2014,30000,0,0,0,1,35000
Honda City i-DTEC SV,2014,80000,1,1,0,1,49500
Hyundai Grand i10 1.2 Kappa Asta,2017,50000,0,0,0,1,50000
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,44000,0,1,0,1,34500
Maruti Baleno Sigma 1.2,2015,10000,0,0,0,1,50000
Maruti Wagon R VXI,2016,33000,0,1,0,1,36000
Maruti Alto LXi BSIII,2010,25000,0,0,0,1,21000
Maruti Alto K10 LXI,2014,66000,0,1,0,1,22000
Chevrolet Aveo 1.4 LT BSIV,2009,48000,0,0,0,1,25000
Toyota Innova 2.5 G (1) 8 Seater,2016,146000,1,1,0,1,99000
Mahindra Quanto C4,2013,100000,1,0,0,4,22000
Jaguar XF 3.0 Litre S Premium Luxury,2012,50000,1,0,1,2,180000
Honda City i VTEC V,2014,50000,0,0,0,1,53000
Maruti Baleno Alpha 1.3,2016,50000,1,0,0,1,57500
Mahindra Xylo E4,2012,99000,1,1,0,1,40000
Honda Mobilio S i DTEC,2016,50000,1,0,0,1,68000
Hyundai Santa Fe 4WD AT,2014,80000,1,0,1,1,100000
Maruti Alto 800 LXI,2016,45000,0,0,0,2,26000
Tata Manza Aura (ABS) Safire BS IV,2010,50000,0,0,0,2,15000
Maruti Alto LXi BSIII,2008,70000,0,0,0,3,18000
Force One EX,2014,37516,1,0,0,1,34600
Mahindra Xylo D2 BS IV,2015,20000,1,0,0,1,45000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,5000,0,0,0,1,50000
Hyundai Grand i10 1.2 CRDi Asta,2019,8000,1,0,0,1,70000
Maruti Alto 800 LXI,2019,25880,0,0,0,1,28000
Hyundai Santro Magna AMT BSIV,2019,10000,0,0,1,1,47500
Maruti Swift Dzire VDi,2009,50000,1,0,0,1,30000
Maruti Alto K10 LXI,2014,40000,0,0,0,1,20099
Skoda Laura 1.9 TDI MT Ambiente,2009,100000,1,0,0,3,20000
Chevrolet Aveo U-VA 1.2 LS,2009,80000,0,0,0,2,21000
Tata Indigo LS BSII,2012,110000,1,0,0,1,16000
Hyundai Verna CRDi SX ABS,2009,136000,1,0,0,2,17500
Tata New Safari DICOR 2.2 GX 4x2 BS IV,2012,80000,1,0,0,1,32000
